[Dictionary FileFormat version 1.1]
brain	aivot
class	luokka
computer	tietokone
factory	tehdas
fruit	hedelma
game	peli
heart	sydan
laptop	kannettava tietokone
night	yo
pet	lemmikki
professor	professori
pupil	oppilas
rat	rotta
school	koulu
sea	meri
snail	etana
suprise	yllatys
toy	lelu
wall	seina
whale	valas
wind	tuuli
also	myos
amazing	hammastyttava
any	yhtaan
at night	yolla
but	mutta
cold	kylma
count	laskea
drink	juoda
eat	syota
eighteen	kahdeksantoista
eleven	yksitoista
energy	energia
fantastic	upea
fifteen	viisitoista
food	ruoka
fourteen	neljatoista
here	taalla
hot	kuuma
ice cream	jaatelo
is playing	pelaa
know	tietaa
like	pitaa jostakin
look	katsoa
love	rakastaa
many	monta
need	tarvita
nineteen	yhdeksantoista
off the wall	seinasta
play	pelata
sixteen	kuusitoista
ten	kymmenen
thank you	kiitos
the sun	aurinko
thirteen	kolmetoista
this	tama
twelve	kaksitoista
twenty	kaksikymmenta
very	erittain
warm	lammin
we have	meilla on
well done	hienoa
why	miksi
